dx,dy,length,distance
273,106,23,292
444,633,23,773
411,31,23,412
199,184,23,271
421,58,24,424
159,47,24,165
91,268,24,283
476,98,24,485
307,72,24,315
64,189,24,199
859,32,24,859
114,189,24,220
216,52,24,222
251,207,24,325
288,96,24,303
23,26,24,34
204,191,24,279
8,19,24,20
275,61,24,281
764,2,24,764
308,142,24,339
336,39,24,338
301,76,24,310
86,172,24,192
142,198,24,243
184,210,24,279
5,20,24,20
537,257,24,595
251,48,24,255
245,212,24,323
573,202,24,607
151,90,24,175
779,249,24,817
592,8,24,592
491,67,24,495
144,329,24,359
420,125,24,438
141,277,24,310
218,173,24,278
540,286,24,611
283,131,24,311
708,93,24,714
659,54,24,661
113,70,24,132
78,24,24,81
26,5,24,26
395,53,24,398
699,381,24,796
84,424,24,432
330,75,24,338
197,161,24,254
414,82,24,422
232,282,24,365
12,153,24,153
511,281,24,583
922,210,24,945
335,187,24,383
416,343,24,539
289,233,24,371
296,96,24,311
449,136,24,469
252,537,24,593
247,173,24,301
607,33,24,607
233,38,24,236
284,267,24,389
353,40,24,355
31,309,24,310
283,25,24,284
128,69,24,145
542,329,24,634
248,380,24,453
130,39,24,135
115,5,24,115
51,5,24,51
538,44,24,539
266,12,24,266
419,269,24,497
498,15,24,498
179,47,24,185
44,525,24,526
30,92,24,96
19,80,24,82
282,305,24,415
178,40,24,182
355,39,24,357
212,62,24,220
105,183,24,210
583,325,24,667
216,294,24,364
277,325,24,427
215,430,24,480
362,55,24,366
31,369,24,370
195,92,24,215
464,72,24,469
788,230,24,820
917,116,24,924
506,346,24,612
74,45,24,86
143,127,24,191
85,115,24,143
318,45,24,321
616,261,24,669
934,109,24,940
253,57,24,259
2,4,24,4
26,50,24,56
795,349,24,868
328,412,24,526
728,203,24,755
11,5,24,12
359,18,24,359
155,52,24,163
208,62,24,217
98,141,24,171
277,208,24,346
519,152,24,540
235,115,24,261
694,313,24,761
288,266,24,392
425,194,24,467
376,155,24,406
392,450,24,596
50,18,24,53
76,227,24,239
330,40,24,332
280,98,24,296
90,290,24,303
216,21,24,217
162,251,24,298
857,320,24,914
581,150,24,600
79,47,24,91
239,94,24,256
689,108,24,697
754,234,24,789
395,94,24,406
477,41,24,478
6,2,25,6
623,263,25,676
2,52,25,52
186,253,25,314
648,23,25,648
117,66,25,134
531,30,25,531
158,177,25,237
1139,62,25,1140
160,55,25,169
154,28,25,156
544,102,25,553
612,8,25,612
465,194,25,503
1095,382,25,1159
39,216,25,219
59,68,25,90
616,4,25,616
848,233,25,879
111,48,25,120
762,66,25,764
282,58,25,287
662,173,25,684
3,11,25,11
202,189,25,276
654,50,25,655
928,242,25,959
841,93,25,846
368,133,25,391
236,298,25,380
414,329,25,528
374,97,25,386
8,19,25,20
338,20,25,338
498,80,25,504
411,27,25,411
397,196,25,442
399,51,25,402
700,63,25,702
202,334,25,390
58,107,25,121
202,463,25,505
584,166,25,607
454,127,25,471
717,276,25,768
486,204,25,527
740,291,25,795
127,85,25,152
309,40,25,311
67,80,25,104
249,139,25,285
275,157,25,316
677,298,25,739
335,205,25,392
37,102,25,108
512,18,25,512
363,55,25,367
3,154,25,154
54,297,25,301
202,334,25,390
151,284,25,321
423,116,25,438
501,461,25,680
326,235,25,401
169,137,25,217
301,122,25,324
470,78,25,476
542,32,25,542
523,122,25,537
305,115,25,325
107,61,25,123
469,61,25,472
77,456,25,462
407,27,25,407
90,76,25,117
109,3,25,109
701,331,25,775
61,3,25,61
534,159,25,557
590,162,25,611
72,397,25,403
716,72,25,719
18,16,25,24
883,5,25,883
49,175,25,181
759,152,25,774
1011,1,25,1011
428,81,25,435
294,71,25,302
906,22,25,906
35,383,25,384
999,187,25,1016
248,165,25,297
334,107,25,350
1034,101,25,1038
932,152,25,944
1472,49,25,1472
335,105,25,351
17,91,25,92
237,13,25,237
193,328,25,380
229,41,25,232
59,67,25,89
287,399,25,491
471,277,25,546
561,182,25,589
85,275,25,287
540,295,25,615
387,578,25,695
166,18,25,166
413,224,25,469
8,12,25,14
1548,151,25,1555
186,52,25,193
236,138,25,273
682,342,25,762
54,21,25,57
574,10,25,574
233,153,25,278
158,174,25,235
390,120,25,408
1345,73,25,1346
310,4,25,310
218,202,25,297
509,399,25,646
414,146,25,438
260,49,25,264
429,119,25,445
487,221,25,534
824,9,25,824
122,268,25,294
231,25,25,232
517,140,25,535
35,204,25,206
172,315,25,358
344,18,25,344
1005,76,25,1007
14,408,25,408
746,58,26,748
410,287,26,500
444,71,26,449
686,118,26,696
275,228,26,357
421,190,26,461
478,97,26,487
847,11,26,847
768,25,26,768
151,134,26,201
31,235,26,237
1173,191,26,1188
499,125,26,514
639,110,26,648
434,180,26,469
123,189,26,225
263,99,26,281
467,55,26,470
456,83,26,463
1224,162,26,1234
100,101,26,142
99,64,26,117
1158,168,26,1170
480,119,26,494
45,425,26,427
1202,399,26,1266
268,150,26,307
275,22,26,275
1071,27,26,1071
79,249,26,261
457,13,26,457
733,166,26,751
1231,33,26,1231
92,240,26,257
339,56,26,343
546,216,26,587
352,157,26,385
361,87,26,371
47,1,26,47
66,232,26,241
212,45,26,216
135,67,26,150
242,344,26,420
933,248,26,965
404,360,26,541
491,94,26,499
1121,26,26,1121
986,262,26,1020
288,22,26,288
38,357,26,359
212,156,26,263
268,63,26,275
191,208,26,282
6,90,26,90
1,14,26,14
75,261,26,271
341,202,26,396
89,15,26,90
1100,209,26,1119
601,109,26,610
330,184,26,377
134,8,26,134
258,67,26,266
300,295,26,420
416,237,26,478
862,85,26,866
139,168,26,218
266,25,26,267
67,129,26,145
423,104,26,435
887,40,26,887
617,34,26,617
13,354,26,354
592,112,26,602
169,64,26,180
148,177,26,230
424,239,26,486
365,35,26,366
841,192,26,862
81,63,26,102
538,313,26,622
611,67,26,614
510,123,26,524
426,258,26,498
442,47,26,444
217,38,26,220
447,119,26,462
547,87,26,553
618,353,26,711
610,27,26,610
25,16,26,29
353,333,26,485
721,157,26,737
250,624,26,672
128,21,26,129
371,32,26,372
633,31,26,633
232,139,26,270
45,294,26,297
448,226,26,501
792,329,26,857
87,15,26,88
140,217,26,258
231,311,26,387
257,446,26,514
22,218,26,219
87,11,26,87
589,247,26,638
1322,526,26,1422
365,32,26,366
243,198,26,313
9,186,26,186
454,4,26,454
291,142,26,323
213,4,26,213
128,101,26,163
66,296,26,303
17,13,26,21
109,27,26,112
927,18,26,927
248,139,26,284
622,255,26,672
197,64,26,207
640,34,26,640
24,29,26,37
483,66,26,487
441,7,26,441
285,47,26,288
407,372,26,551
391,201,26,439
668,108,26,676
739,250,26,780
350,256,26,433
350,80,26,359
206,125,26,240
806,260,26,846
703,109,26,711
318,261,26,411
678,574,26,888
276,94,26,291
735,176,26,755
282,350,26,449
31,145,26,148
341,127,26,363
71,121,26,140
793,162,27,809
232,126,27,264
144,103,27,177
206,2,27,206
544,27,27,544
391,55,27,394
38,166,27,170
489,127,27,505
996,227,27,1021
931,11,27,931
422,94,27,432
984,340,27,1041
62,133,27,146
694,375,27,788
630,156,27,649
172,0,27,172
46,8,27,46
1317,206,27,1333
95,192,27,214
204,126,27,239
457,27,27,457
701,328,27,773
41,159,27,164
222,154,27,270
896,64,27,898
4,4,27,5
86,48,27,98
615,89,27,621
265,185,27,323
275,183,27,330
214,152,27,262
563,163,27,586
539,44,27,540
85,100,27,131
190,457,27,494
1047,331,27,1098
538,22,27,538
8,1,27,8
687,140,27,701
165,65,27,177
305,325,27,445
319,564,27,647
444,42,27,445
467,77,27,473
78,51,27,93
234,200,27,307
1209,125,27,1215
525,308,27,608
403,83,27,411
469,298,27,555
481,21,27,481
420,228,27,477
926,366,27,995
451,138,27,471
497,68,27,501
527,40,27,528
143,335,27,364
391,174,27,427
1290,447,27,1365
224,131,27,259
513,142,27,532
486,220,27,533
604,127,27,617
648,51,27,650
49,225,27,230
547,224,27,591
250,16,27,250
536,248,27,590
288,23,27,288
366,160,27,399
1275,81,27,1277
355,205,27,409
1003,52,27,1004
633,326,27,712
600,234,27,644
755,194,27,779
436,426,27,609
253,225,27,338
159,75,27,175
460,61,27,464
212,56,27,219
309,80,27,319
210,214,27,299
651,166,27,671
740,268,27,787
451,97,27,461
536,77,27,541
243,194,27,310
969,372,27,1037
523,453,27,691
286,250,27,379
297,656,27,720
199,145,27,246
245,128,27,276
182,244,27,304
434,239,27,495
30,310,27,311
194,196,27,275
482,90,27,490
899,4,27,899
3,310,27,310
630,601,27,870
488,262,27,553
216,414,27,466
318,67,27,324
394,69,27,399
211,357,27,414
16,6,27,17
802,278,27,848
840,180,27,859
399,250,27,470
262,98,27,279
1447,10,27,1447
201,104,27,226
617,32,27,617
136,146,27,199
145,210,27,255
445,22,27,445
426,114,27,440
334,281,27,436
17,691,27,691
50,13,27,51
93,183,27,205
51,230,27,235
581,103,27,590
975,29,27,975
102,95,27,139
256,3,27,256
705,86,27,710
564,6,27,564
459,295,27,545
169,149,27,225
269,308,27,408
472,217,27,519
153,237,27,282
136,22,27,137
166,127,27,209
619,11,27,619
856,160,27,870
119,309,27,331
299,220,27,371
231,268,27,353
442,312,27,541
442,102,27,453
6,63,27,63
387,138,27,410
731,20,27,731
813,12,27,813
176,375,27,414
431,264,27,505
361,54,27,365
130,175,27,218
468,144,27,489
192,114,27,223
147,224,27,267
50,168,27,175
255,456,27,522
756,383,27,847
193,61,27,202
610,53,27,612
315,110,27,333
150,101,27,180
710,526,27,883
31,198,27,200
871,42,27,872
515,273,27,582
714,53,27,715
17,15,27,22
353,85,27,363
679,204,27,708
89,165,27,187
375,90,27,385
292,117,27,314
448,6,27,448
206,99,27,228
167,259,27,308
1006,491,27,1119
116,146,27,186
187,84,27,205
672,347,27,756
340,186,28,387
900,7,28,900
278,512,28,582
120,9,28,120
762,221,28,793
259,279,28,380
167,72,28,181
760,387,28,852
473,56,28,476
667,552,28,865
91,12,28,91
135,195,28,237
13,379,28,379
573,11,28,573
632,98,28,639
198,149,28,247
161,159,28,226
221,246,28,330
566,124,28,579
50,173,28,180
704,59,28,706
473,125,28,489
285,150,28,322
956,370,28,1025
343,43,28,345
1188,21,28,1188
355,214,28,414
376,451,28,587
924,26,28,924
287,380,28,476
166,182,28,246
368,67,28,374
504,134,28,521
173,159,28,234
267,49,28,271
343,0,28,343
76,66,28,100
504,229,28,553
612,230,28,653
88,197,28,215
134,202,28,242
342,145,28,371
528,307,28,610
227,284,28,363
97,6,28,97
1447,114,28,1451
482,8,28,482
450,216,28,499
29,552,28,552
213,326,28,389
188,160,28,246
1380,94,28,1383
328,185,28,376
940,379,28,1013
227,47,28,231
51,53,28,73
180,207,28,274
549,5,28,549
508,227,28,556
667,152,28,684
321,311,28,446
447,230,28,502
219,145,28,262
770,12,28,770
702,126,28,713
387,694,28,794
212,208,28,296
184,112,28,215
50,231,28,236
116,46,28,124
470,265,28,539
86,103,28,134
890,257,28,926
40,7,28,40
26,5,28,26
336,398,28,520
255,125,28,283
311,43,28,313
354,208,28,410
229,242,28,333
1,212,28,212
372,139,28,397
699,96,28,705
110,30,28,114
239,154,28,284
461,352,28,580
1041,34,28,1041
594,316,28,672
702,61,28,704
672,61,28,674
236,126,28,267
617,197,28,647
664,32,28,664
634,39,28,635
263,62,28,270
173,75,28,188
592,47,28,593
629,530,28,822
172,188,28,254
62,152,28,164
922,279,28,963
41,123,28,129
524,165,28,549
602,2,28,602
417,76,28,423
1263,71,28,1264
1062,58,28,1063
135,321,28,348
928,130,28,937
459,271,28,533
369,313,28,483
11,185,28,185
1128,376,28,1189
205,52,28,211
872,109,28,878
675,106,28,683
583,117,28,594
383,7,28,383
92,207,28,226
820,207,28,845
96,9,28,96
707,163,28,725
55,94,28,108
347,191,28,396
732,27,28,732
326,207,28,386
188,123,28,224
151,12,28,151
390,267,28,472
290,24,28,290
418,57,28,421
290,116,28,312
292,46,28,295
112,274,28,296
665,401,28,776
589,244,28,637
188,18,28,188
143,20,28,144
350,280,28,448
945,74,28,947
728,170,28,747
274,177,28,326
740,149,28,754
74,304,28,312
306,44,28,309
37,253,28,255
752,54,28,753
883,331,28,943
142,193,28,239
484,166,28,511
181,28,28,183
427,349,28,551
630,29,28,630
752,14,28,752
57,66,28,87
554,264,28,613
113,188,28,219
82,252,28,265
88,91,28,126
350,161,28,385
449,173,28,481
376,92,28,387
798,50,28,799
166,96,28,191
133,171,28,216
876,52,28,877
408,188,28,449
328,118,28,348
325,536,28,626
122,46,29,130
304,23,29,304
358,110,29,374
1071,0,29,1071
508,370,29,628
693,189,29,718
284,323,29,430
500,114,29,512
696,105,29,703
387,79,29,394
382,7,29,382
326,352,29,479
387,418,29,569
466,243,29,525
551,380,29,669
449,158,29,475
678,94,29,684
700,196,29,726
795,178,29,814
514,197,29,550
55,81,29,97
