
Star Data Extractor Tool
     Image: [1] m23_3.5_071.fit
     Stars Found: 2508 (good stars)
     Radius of star diaphragm: 5
     Sky annulus inner radius: 7
     Sky annulus outer radius: 11
     Threshold factor: High = 1.04
       X	       Y	   Sigma	    FWHM	 Sky ADU	   Star ADU
  684.89	  671.27	    1.54	    3.62	   723.6	    18947.4
  284.06	  806.48	    1.90	    4.47	   710.6	    18945.0
  341.69	  728.54	    1.59	    3.75	   718.9	    18911.0
  359.58	  715.70	    1.72	    4.04	   722.4	    18778.9
  359.57	  716.30	    1.56	    3.68	   722.3	    18563.0
  941.67	  514.98	    1.32	    3.10	   703.6	    18540.0
  359.67	  716.11	    1.62	    3.80	   722.6	    18503.6
  245.32	  847.99	     n/a	     n/a	   715.9	    18500.7
  807.32	  632.47	    1.52	    3.57	   717.7	    18386.5
  233.37	   93.10	    1.92	    4.51	   715.5	    18198.8
  820.02	  511.90	    1.34	    3.16	   712.8	    18034.0
  246.53	  847.49	    1.90	    4.46	   716.7	    17979.5
  276.68	  734.46	    1.67	    3.92	   716.3	    17968.2
  810.10	  632.07	     n/a	     n/a	   717.8	    17967.7
  837.82	  847.28	    1.56	    3.67	   707.7	    17821.1
  165.59	  837.30	    1.89	    4.45	   702.1	    17533.2
  606.07	  468.01	    1.29	    3.02	   737.8	    17477.7
  239.49	  785.47	    1.82	    4.28	   715.9	    17326.7
  989.95	  296.07	    1.22	    2.87	   699.7	    17140.5
  429.22	  544.84	    1.51	    3.54	   741.4	    16946.7
  388.21	  935.22	    1.87	    4.39	   714.0	    16889.4
  481.02	  712.64	    1.55	    3.64	   721.2	    16827.9
  306.33	  735.59	    1.57	    3.68	   739.8	    16711.2
  363.94	  185.18	    1.99	    4.67	   719.5	    16611.0
  761.97	  724.98	    1.40	    3.30	   714.5	    16527.3
  306.72	  735.79	    1.82	    4.28	   740.3	    16524.4
   70.17	  480.44	    1.98	    4.66	   714.8	    16503.4
  334.74	  940.86	    1.85	    4.35	   705.1	    16479.5
  431.04	  132.15	     n/a	     n/a	   717.7	    16451.7
  334.75	  940.80	    1.86	    4.36	   705.3	    16413.5
  347.42	   34.01	    1.76	    4.13	   713.5	    16286.0
  994.77	   15.61	     n/a	     n/a	   688.4	    16174.4
  431.89	  133.42	    1.66	    3.91	   719.5	    16083.7
  316.13	  742.67	    1.74	    4.09	   728.8	    15961.3
   22.02	  177.65	    2.21	    5.20	   706.8	    15887.5
  994.89	   16.04	     n/a	     n/a	   688.1	    15662.9
  113.33	  812.92	     n/a	     n/a	   712.5	    15607.1
  438.54	  545.53	    1.58	    3.71	   742.8	    15484.2
  399.03	  186.95	    1.09	    2.57	   724.0	    15484.0
  203.93	  408.89	    1.87	    4.40	   734.9	    15406.1
   32.76	  396.05	     n/a	     n/a	   720.3	    15369.1
  885.53	  645.09	    1.35	    3.17	   705.3	    15288.5
  112.49	  812.48	    1.91	    4.48	   713.2	    15285.8
   33.69	  396.82	     n/a	     n/a	   719.9	    15138.1
  244.80	  626.22	     n/a	     n/a	   724.2	    14962.4
  942.94	  343.50	    1.24	    2.91	   707.4	    14852.8
  685.09	  468.72	    1.63	    3.84	   746.7	    14700.7
  895.96	  850.93	    1.49	    3.49	   712.9	    14621.4
  911.10	  154.25	    1.33	    3.13	   697.7	    14578.2
   17.21	  481.35	     n/a	     n/a	   711.4	    14567.4
  621.50	  138.38	    1.57	    3.70	   712.6	    14513.4
  994.89	   17.02	     n/a	     n/a	   688.3	    14499.6
   31.76	  395.57	     n/a	     n/a	   721.2	    14337.3
   34.15	  397.15	     n/a	     n/a	   720.5	    14307.5
